Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
Toyota,Prius,0.7142857142857143,Hatchback,0.4380128133078566,0.42857142843537416,Hybrid,Automatic,0.14473684210526316,0.4909820248279215
Renault,Grand Scenic,0.8,Universal,0.30313588850174217,0.3571428569897959,Diesel,Manual,0.16093117408906882,0.4672405147919104
Renault,Laguna,0.7428571428571429,Universal,0.2469371698325278,0.3571428569897959,Diesel,Manual,0.12044534412955465,0.3035823722770071
Opel,Astra,0.5714285714285714,Universal,0.4492525570416995,0.38095238080498867,Metan/Propan,Manual,0.0708502024291498,0.34536742994038666
Mercedes,Vito,0.4,Microvan,0.6740474317185569,0.5238095236961452,Diesel,Manual,0.05850202429149798,0.3770227766550681
Volkswagen,Passat,0.6857142857142857,Universal,0.6515679442508711,0.3309523807930839,Petrol,Manual,0.10121457489878542,0.6703623228777834
Volkswagen,Touareg,0.6857142857142857,SUV,0.4942115319770709,0.5714285713265307,Diesel,Automatic,0.3319838056680162,0.507864876409085
Mercedes,Series (W124),0.14285714285714285,Sedan,0.5391705069124424,0.5476190475113379,Petrol,Manual,0.04554655870445344,0.21282342982536542
BMW,5 Series,0.5142857142857142,Sedan,0.7302461503877712,0.071428571207483,Diesel,Manual,0.05668016194331984,0.5001269027677184
Mercedes,E Class,0.6857142857142857,Sedan,0.47173204450938516,0.5238095236961452,Diesel,Automatic,0.21862348178137653,0.4846509554849852
Mercedes,CLS Class,0.5714285714285714,Coupe,0.6740474317185569,0.7619047618480727,Diesel,Automatic,0.22672064777327935,0.5194718368711349
BMW,7 Series,0.34285714285714286,Sedan,0.6403282005170282,0.8333333332936509,Petrol,Manual,0.06862348178137652,0.3279569892473118
Volkswagen,Golf,0.6,Universal,0.5355085984039564,0.3333333331746032,Petrol,Automatic,0.08906882591093117,0.439840659646777
Volkswagen,Golf Plus,0.6857142857142857,Hatchback,0.33685511970327076,0.2857142855442177,Petrol,Manual,0.09919028340080972,0.34536742994038666
Volvo,XC60,0.7428571428571429,Crossover,0.404293582106328,0.5714285713265307,Diesel,Automatic,0.3097165991902834,0.4985793080394451
Nissan,Qashqai,0.7142857142857143,Crossover,0.5638979431268967,0.3571428569897959,Diesel,Manual,0.15587044534412955,0.6327979781096947
Hyundai,Matrix,0.5428571428571428,Universal,0.8606271777003485,0.3571428569897959,Diesel,Manual,0.05263157894736842,0.6247537958857284
Audi,A3,0.6571428571428571,Hatchback,0.557154096886591,0.47619047606575965,Diesel,Automatic,0.17609311740890687,0.5285788366182818
Mercedes,E Class,0.5142857142857142,Universal,0.7077666629200854,0.42857142843537416,Metan/Propan,Manual,0.12753036437246965,0.4846509554849852
GAZ,31029,0.17142857142857143,Sedan,0.15252332246824774,0.5821428570433674,Petrol,Manual,0.032834008097165995,0.06030048099244154
Renault,Megane,0.7142857142857143,Universal,0.38406204338541083,0.3571428569897959,Diesel,Manual,0.10323886639676114,0.43020375913573305
Tesla,Model S,0.7714285714285715,Hatchback,0.25368101607283355,0.0,Electric,Automatic,0.5344129554655871,0.3469150246686599
Mercedes,E Class,0.8,Sedan,0.6189726874227267,0.5238095236961452,Diesel,Automatic,0.35931174089068824,0.956473898267313
Lincoln,MKZ,0.8857142857142857,Sedan,0.3525907609306508,0.4757142855894558,Hybrid,Automatic,0.3481781376518219,0.8718591564989693
Lexus,NX Series,0.8857142857142857,Crossover,0.17050691244239632,0.4757142855894558,Petrol,Automatic,0.5546356275303643,0.4205805337344699
Dodge,Caliber,0.6285714285714286,Hatchback,0.25477351916376306,0.4757142855894558,Metan/Propan,Automatic,0.07884615384615384,0.22296904722109467
Audi,100,0.2,Sedan,0.5279307631785995,0.47619047606575965,Petrol,Manual,0.04757085020242915,0.22289398506496375
Porsche,Cayenne,0.7428571428571429,Crossover,0.5693919298639991,0.7142857142176872,Diesel,Automatic,0.5996356275303644,0.7031700930413951
Lexus,RX Series,0.6571428571428571,SUV,0.5616499943801281,0.8333333332936509,Hybrid,Automatic,0.3520242914979757,0.5328644835581156
Volkswagen,Passat,0.7428571428571429,Sedan,0.4020456333595594,0.3333333331746032,Metan/Propan,Automatic,0.1862348178137652,0.4957936375285531
BMW,X1,0.8285714285714286,Crossover,0.38131280206811285,0.47619047606575965,Diesel,Automatic,0.3297165991902834,0.6727911622613277
Mercedes,GLC Coupe,0.8857142857142857,Crossover,0.16001573564122737,0.5952380951417234,Diesel,Automatic,0.8664777327935222,0.39457908518580426
Opel,Vectra,0.22857142857142856,Sedan,0.7639653815892997,0.42857142843537416,Petrol,Manual,0.018218623481781375,0.335418606687201
BMW,7 Series,0.6,Sedan,0.6740474317185569,0.7142857142176872,Diesel,Automatic,0.22064777327935223,0.5542927182572845
Volkswagen,Touran,0.5142857142857142,Minivan,0.6290884567831854,0.047619047392290254,Diesel,Automatic,0.0951417004048583,0.4304851399954191
Volkswagen,Passat,0.6857142857142857,Universal,0.5121951219512195,0.3333333331746032,Metan/Propan,Automatic,0.10323886639676114,0.5264360131483649
Toyota,Auris,0.6857142857142857,Sedan,0.41553332584017083,0.3333333331746032,Diesel,Manual,0.1194331983805668,0.42661615317473583
Nissan,Qashqai,0.6571428571428571,Hatchback,0.4501854557716084,0.3571428569897959,Diesel,Manual,0.11336032388663968,0.42661258180228595
BMW,3 Series,0.8571428571428571,Minivan,0.30538383724851076,0.47619047606575965,Diesel,Automatic,0.2550607287449393,0.6285772652144038
BMW,5 Series,0.4857142857142857,Sedan,0.5616499943801281,0.7142857142176872,Petrol,Automatic,0.1394736842105263,0.36369420961730753
Dacia,Logan,0.8,Sedan,0.4380128133078566,0.2857142855442177,Metan/Propan,Manual,0.06880566801619434,0.6761658031088082
Dacia,Duster,0.8285714285714286,SUV,0.38181409463864224,0.3571428569897959,Diesel,Manual,0.1659919028340081,0.6736785972955119
Volkswagen,Golf,0.6857142857142857,Universal,0.43014499269416656,0.3333333331746032,Petrol,Manual,0.10323886639676114,0.4417052017754007
Volkswagen,Passat,0.14285714285714285,Sedan,0.6560638417444082,0.42857142843537416,Petrol,Manual,0.011133603238866396,0.25955080613710174
BMW,3 Series,0.5142857142857142,Sedan,0.5616499943801281,0.47619047606575965,Diesel,Manual,0.07892712550607288,0.38405729814721956
Nissan,Qashqai,0.8285714285714286,Crossover,0.3548387096774194,0.3571428569897959,Diesel,Manual,0.2257085020242915,0.625924245680221
Peugeot,3008,0.9142857142857143,Crossover,0.29639204226143645,0.3571428569897959,Diesel,Automatic,0.32186234817813764,0.9164298846732408
BMW,X5,0.5428571428571428,SUV,0.5852534562211982,0.7142857142176872,Petrol,Automatic,0.17002024291497975,0.42402165613027765
Renault,Megane,0.5428571428571428,Universal,0.024639766213330336,0.3571428569897959,Diesel,Manual,0.05263157894736842,0.015365430812137659
Nissan,Qashqai,0.7714285714285715,SUV,0.404293582106328,0.3571428569897959,Diesel,Manual,0.17002024291497975,0.5542927182572845
Ford,Transit Connect,0.7428571428571429,Minivan,0.34058221872541306,0.42857142843537416,Diesel,Manual,0.06678137651821862,0.4196278344197448
Renault,Scenic,0.8285714285714286,Microvan,0.41661234123861973,0.34785714270187074,Diesel,Manual,0.14068825910931174,0.7352817108792372
BMW,7 Series,0.6571428571428571,Sedan,0.4834438574800495,0.7142857142176872,Diesel,Automatic,0.32186234817813764,0.45831565503970645
Volkswagen,Polo,0.6,Hatchback,0.6875081488142071,0.3333333331746032,Diesel,Manual,0.053643724696356275,0.5654131149367653
BMW,5 Series,0.8,Sedan,0.5195009553782174,0.47619047606575965,Diesel,Automatic,0.3522267206477733,0.8023914981336008
Vaz,2121niva,0.5142857142857142,Minivan,0.0266381926492076,0.4047619046201814,Petrol,Manual,0.024291497975708502,0.01572975281817
BMW,5 Series,0.34285714285714286,Sedan,0.024639766213330336,0.5952380951417234,Petrol,Manual,0.05263157894736842,0.010055109848273812
Nissan,Pulsar,0.8,Hatchback,0.1954591435315275,0.2857142855442177,Petrol,Manual,0.14878542510121456,0.3004484929522536
Toyota,Avensis,0.4,Sedan,0.9438012813307857,0.38095238080498867,Metan/Propan,Manual,0.04856275303643725,0.5289684408855394
Honda,CR-V,0.45714285714285713,Universal,0.6180735079240194,0.47619047606575965,Petrol,Manual,0.10728744939271255,0.3803275948520809
BMW,5 Series,0.8285714285714286,Sedan,0.40482409801056535,0.47619047606575965,Diesel,Automatic,0.4230769230769231,0.7144130592233551
Honda,CR-V,0.6857142857142857,Crossover,0.4110374283466337,0.5238095236961452,Diesel,Manual,0.2509919028340081,0.4219733689899159
Nissan,Note,0.7142857142857143,Hatchback,0.4380128133078566,0.3571428569897959,Diesel,Manual,0.09412955465587045,0.4909820248279215
Volkswagen,Passat,0.2,Universal,0.6993458469146904,0.47619047606575965,Metan/Propan,Manual,0.5748987854251012,0.29614175028481077
Opel,Astra,0.6857142857142857,Hatchback,0.42677306957401373,0.30952380935941043,Diesel,Manual,0.1194331983805668,0.43822311363678573
Skoda,Rapid,0.8571428571428571,Universal,0.26042486231313927,0.3804761903286848,Petrol,Automatic,0.19635627530364372,0.5357215815180046
Volkswagen,Sharan,0.5714285714285714,Minivan,0.5616499943801281,0.47619047606575965,Diesel,Manual,0.12753036437246965,0.4324196334057608
Nissan,Qashqai,0.8285714285714286,Crossover,0.33460717095650216,0.2857142855442177,Petrol,Automatic,0.2408906882591093,0.5901084819687528
Skoda,Superb,0.8571428571428571,Sedan,0.38181409463864224,0.47619047606575965,Diesel,Automatic,0.3419028340080972,0.7864319274982822
Toyota,Corolla,0.5714285714285714,Universal,0.5751376868607396,0.3333333331746032,Diesel,Manual,0.09898785425101214,0.4428658978216057
Mazda,Tribute,0.45714285714285713,SUV,0.572889738113971,0.47619047606575965,Petrol,Manual,0.06862348178137652,0.35233160621761656
Chevrolet,Volt,0.7142857142857143,Hatchback,0.42677306957401373,0.3333333331746032,Plug-in Hybrid,Automatic,0.17307692307692307,0.4783198861420489
Volkswagen,Passat,0.45714285714285713,Universal,0.6066089693154996,0.42857142843537416,Petrol,Manual,0.039473684210526314,0.37322413504930635
Volkswagen,Touareg,0.6857142857142857,SUV,0.5279307631785995,0.7142857142176872,Diesel,Automatic,0.41194331983805665,0.5426857577952346
BMW,5 Series,0.4,Sedan,0.5719995504102506,0.5952380951417234,Petrol,Manual,0.07894736842105263,0.3195417318766809
Renault,Megane,0.6571428571428571,Universal,0.37057435090479934,0.3571428569897959,Diesel,Manual,0.08904858299595142,0.35072448861517885
Toyota,C-HR,0.8857142857142857,Crossover,0.2581769135663707,0.42857142843537416,Hybrid,Automatic,0.3522064777327935,0.6378628335840437
BMW,7 Series,0.34285714285714286,Sedan,0.7864448690569855,0.8333333332936509,Petrol,Manual,0.06862348178137652,0.4034022322506361
Mercedes,E Class,0.7428571428571429,Sedan,0.33685511970327076,0.5952380951417234,Diesel,Automatic,0.2811740890688259,0.41500919271268594
Audi,A7,0.9142857142857143,Hatchback,0.06955378217376644,0.7142857142176872,Petrol,Automatic,0.7064777327935222,0.2136818207142459
Renault,Clio,0.5714285714285714,Hatchback,0.6290884567831854,0.34785714270187074,Diesel,Manual,0.07487854251012145,0.4846509554849852
Citroen,C3,0.7428571428571429,Hatchback,0.3256153759694279,0.3333333331746032,Diesel,Automatic,0.12751012145748988,0.4010808401582261
Audi,A6,0.3142857142857143,Sedan,0.06665168034168821,0.5714285713265307,Metan/Propan,Manual,0.043522267206477734,0.030363808568722492
Ford,Fusion,0.7714285714285715,Sedan,0.3997976846127908,0.47619047606575965,Hybrid,Automatic,0.17591093117408907,0.5481023393441913
Toyota,Prius,0.8,Sedan,0.314375632235585,0.19047619028344673,Plug-in Hybrid,Automatic,0.2145748987854251,0.4846509554849852
Volkswagen,Vento,0.2,Sedan,0.6740474317185569,0.42857142843537416,Petrol,Manual,0.022267206477732792,0.28533142755047347
Renault,Captur,0.8857142857142857,Crossover,0.28964819602113073,0.3571428569897959,Diesel,Automatic,0.2103238866396761,0.7158616078890189
Lexus,CT Series,0.7428571428571429,Hatchback,0.43351691581431945,0.42857142843537416,Hybrid,Automatic,0.20951417004048584,0.5347930246810407
Volvo,XC60,0.6857142857142857,SUV,0.4537484545352366,0.5714285713265307,Diesel,Automatic,0.28643724696356276,0.46607981874570537
Dacia,Dokker,0.7714285714285715,Minivan,0.4694840957626166,0.3571428569897959,Diesel,Manual,0.10425101214574899,0.644053212497137
Hyundai,i30,0.6857142857142857,Hatchback,0.3256153759694279,0.3333333331746032,Petrol,Manual,0.0840080971659919,0.33376046947833676
Lexus,CT Series,0.7428571428571429,Hatchback,0.435764864561088,0.42857142843537416,Hybrid,Automatic,0.19026315789473683,0.5375786951919327
Volvo,XC90,0.6285714285714286,SUV,0.5594020456333596,0.5714285713265307,Diesel,Manual,0.22064777327935223,0.49261001408753374
Hyundai,Getz,0.6285714285714286,Hatchback,0.3188715297291222,0.26190476172902494,Petrol,Manual,0.05868421052631579,0.2797051964693616
Mercedes,A Class,0.5428571428571428,Hatchback,0.5841294818478139,0.3571428569897959,Metan/Propan,Automatic,0.0840080971659919,0.4232023412741329
Mercedes,C Class,0.45714285714285713,Coupe,0.5391705069124424,0.5476190475113379,Petrol,Manual,0.05868421052631579,0.3314390773859268
Jaguar,Xf,0.7428571428571429,Sedan,0.2694166573002136,0.5238095236961452,Diesel,Automatic,0.31172064777327935,0.3314390773859268
Mercedes,E Class,0.6857142857142857,Sedan,0.4087894795998651,0.42857142843537416,Petrol,Automatic,0.2257085020242915,0.4196519768975059
Skoda,Octavia,0.5428571428571428,Universal,0.6740474317185569,0.47619047606575965,Petrol,Manual,0.08904858299595142,0.48874752976570873
